,CO_NAME,Expenditrure (Millions),Percent Change 2018/2019
1,MECKLENBURG,5998.35,0.056
2,WAKE,2563.34,0.068
3,GUILFORD,1591.64,0.07
4,BUNCOMBE,1294.25,0.067
5,DARE,1267.02,0.067
6,FORSYTH,1001.94,0.054
7,DURHAM,913.02,0.062
8,NEW HANOVER,658.78,0.075
9,BRUNSWICK,633.62,0.058
10,CUMBERLAND,601.12,0.047
11,MOORE,563.02,0.081
12,CABARRUS,478.16,0.019
13,CARTERET,389.25,0.032
14,HENDERSON,324.77,0.036
15,NASH,324.5,0.05
16,CATAWBA,302.79,0.033
17,GASTON,291.94,0.056
18,WATAUGA,284.73,0.079
19,IREDELL,281.29,0.035
20,JOHNSTON,276.08,0.078
21,PITT,271.08,0.04
22,ONSLOW,264.71,0.062
23,CURRITUCK,253.13,0.038
24,SWAIN,232.01,0.078
25,ORANGE,218.38,0.05
26,ALAMANCE,211.73,0.05
27,JACKSON,207.48,0.008
28,HAYWOOD,204.26,0.075
29,RUTHERFORD,200.52,0.058
30,ROWAN,199.05,0.078
31,MACON,191.42,0.073
32,WAYNE,190.86,0.067
33,DAVIDSON,185.49,0.053
34,ROBESON,162.97,0.02
35,RANDOLPH,161.65,0.053
36,CRAVEN,155.61,0.043
37,UNION,152.37,0.033
38,AVERY,140.78,0.062
39,SURRY,137.79,0.053
40,WILSON,132.12,0.046
41,CLEVELAND,119.79,0.024
42,TRANSYLVANIA,114.92,0.081
43,BURKE,110.01,0.027
44,HALIFAX,106.51,0.05
45,PENDER,105.76,0.04
46,HARNETT,97.48,0.032
47,BEAUFORT,95.86,0.028
48,LENOIR,93.92,0.005
49,STANLY,89.36,0.054
50,LEE,84.82,0.026
51,WILKES,83.72,0.033
52,ROCKINGHAM,80.76,0.073
53,PASQUOTANK,69.84,0.064
54,MCDOWELL,66.31,0.066
55,EDGECOMBE,65.6,0.054
56,ASHE,64.92,0.069
57,CHATHAM,63.32,0.046
58,COLUMBUS,62.41,0.061
59,LINCOLN,61.49,0.031
60,CALDWELL,61.19,0.101
61,SAMPSON,56.77,0.065
62,GRANVILLE,54.79,0.045
63,RICHMOND,54.77,0.033
64,CHEROKEE,54.75,0.039
65,VANCE,51.74,-0.009
66,SCOTLAND,46.86,0.003
67,BLADEN,45.26,0.056
68,MADISON,44.97,0.065
69,DUPLIN,44.21,0.019
70,YANCEY,43.83,0.079
71,YADKIN,41.35,0.023
72,DAVIE,40.83,0.034
73,PERSON,39.7,0.035
74,HYDE,37.32,-0.049
75,MARTIN,34.65,0.041
76,MONTGOMERY,33.87,0.084
77,GRAHAM,31.62,0.075
78,WARREN,31.07,0.166
79,POLK,30.31,-0.066
80,HERTFORD,29.36,-0.037
81,STOKES,28.57,0.09
82,ALLEGHANY,26.98,0.061
83,FRANKLIN,25.4,-0.012
84,MITCHELL,25.13,0.012
85,CHOWAN,24.1,0.056
86,ALEXANDER,23.22,0.059
87,PAMLICO,20.24,0.03
88,ANSON,18.79,0.046
89,WASHINGTON,16.51,0.034
90,NORTHAMPTON,16.28,0.078
91,BERTIE,15,0.028
92,CLAY,14.72,0.05
93,HOKE,13.08,0.051
94,PERQUIMANS,12.12,0.088
95,CASWELL,9.82,0.035
96,GATES,6.96,0.022
97,GREENE,6.65,0.089
98,JONES,4.54,0.036
99,TYRRELL,4,0.043
100,CAMDEN,2.24,0.012
,STATE TOTALS,26773.35,0.056
